is,jb,recipient,confirm_date,bc_planned_start,bc_ref,bc_status,ff_status,contact,title,site_group,site_display,development_site,development_site
IS22884814,JB11567091,Agent,17/07/2026,2026-07-17 14:00:00,JOB285185,Scheduled,AwaitingJobCompletion,G06 Burton House,Other (Locks and Keys),"G06 Burton House, Leeds","G06 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22736525,JB11474418,Agent,17/07/2026,2026-07-17 15:45:00,JOB278327,Scheduled,AwaitingJobCompletion,Flat G08 Leodis Square,Other (Fittings / furniture),"G08 Burton House, Leeds","G08 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22799230,JB11513974,Agent,17/07/2026,2026-07-17 16:00:00,JOB279990,Sent,AwaitingJobCompletion,Flat 907 Leodis Square,Other (Shower),"907 Calvert House, Leeds","907 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22870655,JB11561147,Agent,20/07/2026,2026-07-20 09:00:00,DLFF284962,Sent,AwaitingJobCompletion,Flat 812 Leodis Square,Other (Kitchen),"812 Calvert House, Leeds","812 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22870511,JB11561069,Agent,20/07/2026,2026-07-20 10:00:00,DLFF284960,Sent,AwaitingJobCompletion,707 Daniels House,Hob damaged (Hob),"707 Daniels House, Leeds","707 Daniels House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22848542,JB11556881,Agent,20/07/2026,2026-07-20 10:30:00,DLFF284810,Scheduled,AwaitingJobCompletion,Flat 218 Leodis Square,Check Out Inspection (Planned works),"218 Calvert House, Leeds","218 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22879334,JB11563624,Agent,20/07/2026,2026-07-20 11:00:00,JOB285076,Sent,AwaitingJobCompletion,416 Burton House,Other (Water),"416 Burton House, Leeds","416 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22739156,JB11475721,Agent,20/07/2026,2026-07-20 12:00:00,JOB278370~1,Sent,AwaitingJobCompletion,Flat G03 Leodis Square,Other (Furniture),"G03 Burton House, Leeds","G03 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22880402,JB11563812,Agent,20/07/2026,2026-07-20 13:00:00,JOB285079,Sent,AwaitingJobCompletion,Flat 323 Leodis Square,Door hinges detached or broken (Base/Floor unit),"323 Calvert House, Leeds","323 Calvert House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22835096,JB11536706,Agent,20/07/2026,2026-07-20 14:30:00,DLFF284595,Scheduled,AwaitingJobCompletion,809 Burton House,Check Out Inspection (Planned works),"809 Burton House, Leeds","809 Burton House, Leeds",Leodis Square (Leeds),Leodis Square (Leeds)
IS22790218,JB11508374,Tenant,16/07/2026,2026-07-16 12:00:00,JOB279841,Scheduled,AwaitingJobCompletion,"3 Limestone Avenue, Clay Cross",Other (Seal/Sealant),"3 Limestone Avenue, Clay Cross, Chesterfield","3 Limestone Avenue, Clay Cross, Chesterfield",Limestone Avenue (Chesterfield),Limestone Avenue (Chesterfield)
IS22790758,JB11508855,Tenant,16/07/2026,2026-07-16 13:00:00,JOB279846,Scheduled,AwaitingJobCompletion,"3 Limestone Avenue, Clay Cross",Not working (Extractor Fan),"3 Limestone Avenue, Clay Cross, Chesterfield","3 Limestone Avenue, Clay Cross, Chesterfield",Limestone Avenue (Chesterfield),Limestone Avenue (Chesterfield)
IS22040967,JB11366754,Agent,16/07/2026,2026-07-16 08:00:00,JOB278265,Scheduled,AwaitingJobCompletion,"Rudyard Court, 127 Long Lane,",Trunking,"Rudyard Court, 127 Long Lane,","Rudyard Court, 127 Long Lane,",Rudyard Court (London),Rudyard Court (London)
IS20558106,JB11398484,Agent,15/07/2026,2026-07-15 09:00:00,JOB284762,Sent,AwaitingJobCompletion,Spitfire Court,Fire Door Survey Remedials - Common Doors,Spitfire Court,Spitfire Court,Spitfire Court,Spitfire Court
IS22684090,JB11441537,Agent,14/07/2026,2026-07-14 08:00:00,JOB277618,Sent,AwaitingJobCompletion,258 Stoneywood Brae,Cleaning services (Property services),"258 Stoneywood Brae, Dyce","258 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22843566,JB11542617,Agent,14/07/2026,2026-07-14 08:00:00,EOT283953~2,Scheduled,AwaitingJobCompletion,54 Stoneywood Brae,Check-out (Property Inspection),"54 Stoneywood Brae, Dyce","54 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22104945,JB11527389,Agent,14/07/2026,2026-07-14 10:00:00,DLFF282654,Scheduled,AwaitingJobCompletion,20 Stoneywood Brae,Check Out Inspection (Planned works),"20 Stoneywood Brae, Stoneywood","20 Stoneywood Brae, Stoneywood",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22281610,JB11527749,Agent,14/07/2026,2026-07-14 11:00:00,DLFF282657,Scheduled,AwaitingJobCompletion,338 Stoneywood Brae,Check Out Inspection (Planned works),"338 Stoneywood Brae, Dyce","338 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22853382,JB11560255,Agent,14/07/2026,2026-07-14 13:00:00,DLFF284855,Scheduled,AwaitingJobCompletion,258 Stoneywood Brae,Check Out Inspection (Planned works),"258 Stoneywood Brae, Dyce","258 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22889983,JB11571679,Agent,16/07/2026,2026-07-16 14:00:00,JOB285254,Scheduled,AwaitingJobCompletion,530 Stoneywood Brae,Push button damaged (Flush),"530 Stoneywood Brae, ABERDEEN","530 Stoneywood Brae, ABERDEEN",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22891770,JB11573385,Agent,16/07/2026,2026-07-16 15:00:00,JOB285269,Scheduled,AwaitingJobCompletion,468 Stoneywood Brae,Automatic gate not closing/locking (Vehicular gate),"468 Stoneywood Brae, Dyce","468 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22834794,JB11536188,Agent,17/07/2026,2026-07-17 15:00:00,JOB283549,Sent,AwaitingJobCompletion,Flat 110 Forbes Place,Door hinges detached or broken (Base/Floor unit),"110 Stoneywood Brae, Dyce","110 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22800456,JB11514332,Agent,20/07/2026,2026-07-20 09:00:00,JOB279999,Sent,AwaitingJobCompletion,478 Stoneywood Brae,Shower screen loose / wobbly (Shower curtain or screen),"478 Stoneywood Brae, Stoneywood","478 Stoneywood Brae, Stoneywood",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22800471,JB11514333,Agent,20/07/2026,2026-07-20 09:30:00,JOB280000,Sent,AwaitingJobCompletion,478 Stoneywood Brae,Carpet loose (carpet can be refixed) (Floors),"478 Stoneywood Brae, Stoneywood","478 Stoneywood Brae, Stoneywood",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22834396,JB11536095,Agent,20/07/2026,2026-07-20 11:00:00,DLFF283546,Sent,AwaitingJobCompletion,448 Stoneywood Brae,Dishwasher does not work correctly (Dishwasher),"448 Stoneywood Brae, Stoneywood","448 Stoneywood Brae, Stoneywood",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22675958,JB11436437,Agent,21/07/2026,2026-07-21 14:00:00,JOB277475,Sent,AwaitingJobCompletion,310 Stoneywood Brae,Other (Walls),"310 Stoneywood Brae, Dyce","310 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22044530,JB11022935,Tenant,22/07/2026,2026-07-22 09:00:00,JOB282650,Sent,JobAwarded,236 Stoneywood Brae,Grout cracked (Bathroom floor tiles),"236 Stoneywood Brae, Dyce","236 Stoneywood Brae, Dyce",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22604945,JB11389469,Agent,23/07/2026,2026-07-23 08:00:00,JOB275358,Sent,AwaitingJobCompletion,Flat 124 Forbes Place,Cleaning services (Property services),"124 Stoneywood Brae, Stoneywood","124 Stoneywood Brae, Stoneywood",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22684192,JB11441618,Agent,23/07/2026,2026-07-23 13:00:00,JOB277620,Sent,AwaitingJobCompletion,308 Stoneywood Brae,Cleaning services (Property services),"308 Stoneywood Brae, Stoneywood","308 Stoneywood Brae, Stoneywood",Stoneywood Brae (Aberdeen),Stoneywood Brae (Aberdeen)
IS22673986,JB11528853,Agent,16/07/2026,2026-07-16 10:00:00,DLFF282763,Sent,AwaitingJobCompletion,The Archers,Pothole repairs - driveway,The Archers,The Archers,The Archers,The Archers
IS22831880,JB11534771,Agent,13/07/2026,2026-07-13 10:16:00,EOT285210,Sent,AwaitingJobCompletion,Flat 426 The Point,426 The Point - Next available from 15/07/2026,"426 The Point, Aberdeen","426 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22831776,JB11534671,Agent,14/07/2026,2026-07-14 08:00:00,DLFF282840,Sent,AwaitingJobCompletion,Flat 1024 The Point,1024 The Point - Next available from 15/07/2026,"1024 The Point, Aberdeen","1024 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22874825,JB11562402,Agent,14/07/2026,2026-07-14 08:00:00,DLFF284980,Scheduled,AwaitingJobCompletion,Flat 908 The Point,908 The Point - Next available from 20/07/2026,"908 The Point, Aberdeen","908 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22790848,JB11517141,Agent,14/07/2026,2026-07-14 09:00:00,EOT284832,Sent,AwaitingJobCompletion,Flat 226 The Point,Check Out Inspection (Planned works),"226 The Point, Aberdeen","226 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22840424,JB11540055,Agent,14/07/2026,2026-07-14 12:30:00,DLFF283879,Sent,AwaitingJobCompletion,Flat 907 The Point,907 The Point - Next Available from 16/07/2026 1. Please remove tenant's left be,"907 The Point, Aberdeen","907 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22874795,JB11562398,Agent,15/07/2026,2026-07-15 08:00:00,DLFF284979,Sent,AwaitingJobCompletion,Flat 402 The Point,402 The Point - Next available 20/07/2026,"402 The Point, Aberdeen","402 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22864176,JB11555856,Agent,15/07/2026,2026-07-15 08:00:00,DLFF284800,Scheduled,AwaitingJobCompletion,Flat 531 The Point,Other (Bed),"531 The Point, Aberdeen","531 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22869121,JB11561938,Agent,15/07/2026,2026-07-15 09:00:00,DLFF284969,Sent,AwaitingJobCompletion,Flat 215 The Point,Check Out Inspection (Planned works),"215 The Point, Aberdeen","215 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22837119,JB11537168,Agent,15/07/2026,2026-07-15 10:00:00,JOB283868,Scheduled,AwaitingJobCompletion,916 The Point,Needs bulb replacement (Light bulb),"916 The Point, Aberdeen","916 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22851172,JB11553178,Agent,15/07/2026,2026-07-15 13:00:00,DLFF284760,Sent,AwaitingJobCompletion,629 The Point,Check Out Inspection (Planned works),"629 The Point, Aberdeen","629 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22877843,JB11563373,Agent,16/07/2026,2026-07-16 08:00:00,DLFF285061,Sent,AwaitingJobCompletion,Flat 218 The Point,218 The Point - Next available from 20/07/2026,"218 The Point, Aberdeen","218 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22854771,JB11553152,Agent,16/07/2026,2026-07-16 09:00:00,DLFF284757,Sent,AwaitingJobCompletion,Flat 730 The Point,Check Out Inspection (Planned works),"730 The Point, Aberdeen","730 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22877832,JB11563369,Agent,16/07/2026,2026-07-16 13:00:00,DLFF285060,Sent,AwaitingJobCompletion,Flat 313 The Point,313 The Point - Next available from 20/07/2026,"313 The Point, Aberdeen","313 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22845846,JB11544528,Agent,16/07/2026,2026-07-16 13:00:00,DLFF284224,Sent,AwaitingJobCompletion,Flat 519 The Point,519 The Point - Next available from 17/07/2026,"519 The Point, Aberdeen","519 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22878225,JB11563431,Agent,17/07/2026,2026-07-17 08:00:00,DLFF285065,Sent,AwaitingJobCompletion,530 The Point,530 The Point - Next available from 20/07/2026,"530 The Point, Aberdeen","530 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22878205,JB11563429,Agent,17/07/2026,2026-07-17 10:00:00,DLFF285064,Sent,AwaitingJobCompletion,Flat 606 The Point,606 The Point - Next available from 20/07/2026,"606 The Point, Aberdeen","606 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22889060,JB11570867,Agent,20/07/2026,2026-07-20 11:00:00,JOB285252,Sent,AwaitingJobCompletion,Flat 903 The Point,Needs bulb replacement (Light bulb),"903 The Point, Aberdeen","903 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22790715,JB11517137,Agent,21/07/2026,2026-07-21 08:00:00,DLFF280116,Sent,AwaitingJobCompletion,Flat 617 The Point,Check Out Inspection (Planned works),"617 The Point, Aberdeen","617 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22874608,JB11562358,Agent,22/07/2026,2026-07-22 08:00:00,JOB284975,Sent,AwaitingJobCompletion,Flat 714 The Point,Broken (Light bulb),"714 The Point, Aberdeen","714 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22854578,JB11553155,Agent,22/07/2026,2026-07-22 09:00:00,DLFF284758,Sent,AwaitingJobCompletion,Flat 334 The Point,Check Out Inspection (Planned works),"334 The Point, Aberdeen","334 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22875415,JB11563339,Agent,23/07/2026,2026-07-23 10:00:00,DLFF285059,Sent,AwaitingJobCompletion,Flat 330 The Point,Check Out Inspection (Planned works),"330 The Point, Aberdeen","330 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22879151,JB11568634,Agent,27/07/2026,2026-07-27 09:00:00,DLFF285193,Sent,AwaitingJobCompletion,533 The Point,Check Out Inspection (Planned works),"533 The Point, Aberdeen","533 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
IS22879067,JB11568660,Agent,28/07/2026,2026-07-28 09:00:00,DLFF285195,Sent,AwaitingJobCompletion,Flat 531 The Point,Check Out Inspection (Planned works),"531 The Point, Aberdeen","531 The Point, Aberdeen",The Point (Aberdeen),The Point (Aberdeen)
